"","x1","x2","labels","stim","geno"
"CKO_3.28_303.norm",-14.0302163428354,-1.99097078784037,"CKO_3.28_303.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3.28_304.norm",-14.3411231256866,-6.25331475707261,"CKO_3.28_304.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3.28_306.norm",-13.3580882681245,-2.55771825734594,"CKO_3.28_306.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3.28_307.norm",-15.573370881254,-1.14535027512834,"CKO_3.28_307.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3.28_310.norm",-9.5993448979445,4.37029458339321,"CKO_3.28_310.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3.28_312.norm",25.203892579385,3.77156947655777,"CKO_3.28_312.norm","anti-CD3 & anti-CD28","CKO"
"CKO_3_303.norm",-6.82553245320065,1.81015731535808,"CKO_3_303.norm","anti-CD3","CKO"
"CKO_3_304.norm",-5.22704171913621,-3.09874318135218,"CKO_3_304.norm","anti-CD3","CKO"
"CKO_3_306.norm",-5.1357283018395,0.0781027541605794,"CKO_3_306.norm","anti-CD3","CKO"
"CKO_3_307.norm",-6.7808910347928,-1.57651364370775,"CKO_3_307.norm","anti-CD3","CKO"
"CKO_3_310.norm",-2.08898801769943,4.9635491238102,"CKO_3_310.norm","anti-CD3","CKO"
"CKO_3_312.norm",25.9134715936121,3.03902491722083,"CKO_3_312.norm","anti-CD3","CKO"
"FL_3.28_302.norm",-0.62111921988485,-1.83763067904813,"FL_3.28_302.norm","anti-CD3 & anti-CD28","FL"
"FL_3.28_305.norm",-10.1993475539278,-2.46871458277826,"FL_3.28_305.norm","anti-CD3 & anti-CD28","FL"
"FL_3.28_309.norm",-7.41086636189723,4.20584297950925,"FL_3.28_309.norm","anti-CD3 & anti-CD28","FL"
"FL_3.28_315.norm",3.667959392822,1.85694272600156,"FL_3.28_315.norm","anti-CD3 & anti-CD28","FL"
"FL_3.28_316.norm",-2.30068980736635,2.31978964336765,"FL_3.28_316.norm","anti-CD3 & anti-CD28","FL"
"FL_3.28_320.norm",-13.3420967926351,1.84857505967092,"FL_3.28_320.norm","anti-CD3 & anti-CD28","FL"
"FL_3_302.norm",9.70581082602083,2.66031736383504,"FL_3_302.norm","anti-CD3","FL"
"FL_3_305.norm",2.17721933982873,2.84088680981059,"FL_3_305.norm","anti-CD3","FL"
"FL_3_309.norm",-0.239486586242408,5.98815008976403,"FL_3_309.norm","anti-CD3","FL"
"FL_3_315.norm",15.2513213183943,2.02811871346467,"FL_3_315.norm","anti-CD3","FL"
"FL_3_316.norm",5.07783446944195,1.19029303743017,"FL_3_316.norm","anti-CD3","FL"
"FL_3_320.norm",4.64871249839928,5.72338986379917,"FL_3_320.norm","anti-CD3","FL"
"SCR_3.28_322.norm",1.25844098975994,-5.8931863164425,"SCR_3.28_322.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_323.norm",4.36462369067062,-5.65735631964553,"SCR_3.28_323.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_324.norm",4.00782717555665,-7.3295995081209,"SCR_3.28_324.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_330.norm",-8.19395459030172,-0.83626790593154,"SCR_3.28_330.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_331.norm",-3.28242578306477,-7.6089453142806,"SCR_3.28_331.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_332.norm",-9.95902390872559,2.27199457331676,"SCR_3.28_332.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3.28_333.norm",-9.18259697686011,4.39503880019732,"SCR_3.28_333.norm","anti-CD3 & anti-CD28","SCR"
"SCR_3_322.norm",17.4269316099163,-1.71183584064154,"SCR_3_322.norm","anti-CD3","SCR"
"SCR_3_323.norm",14.6567954086372,-2.81965525035865,"SCR_3_323.norm","anti-CD3","SCR"
"SCR_3_324.norm",14.3521187632225,-2.50149854767909,"SCR_3_324.norm","anti-CD3","SCR"
"SCR_3_330.norm",-3.11348683187674,-2.3439782319009,"SCR_3_330.norm","anti-CD3","SCR"
"SCR_3_331.norm",5.63800255939379,-2.11948330729399,"SCR_3_331.norm","anti-CD3","SCR"
"SCR_3_332.norm",-1.0314532180358,4.69783105089417,"SCR_3_332.norm","anti-CD3","SCR"
"SCR_3_333.norm",7.31174356910796,4.88702243554789,"SCR_3_333.norm","anti-CD3","SCR"
"WT_3.28_325.norm",-11.3751382064277,5.80547731096857,"WT_3.28_325.norm","anti-CD3 & anti-CD28","WT"
"WT_3.28_328.norm",-7.90319773675975,0.841491423518747,"WT_3.28_328.norm","anti-CD3 & anti-CD28","WT"
"WT_3.28_329.norm",1.2687793037264,-2.6127342662931,"WT_3.28_329.norm","anti-CD3 & anti-CD28","WT"
"WT_3.28_53.norm",3.99536867121216,-7.64034839039775,"WT_3.28_53.norm","anti-CD3 & anti-CD28","WT"
"WT_3.28_55.norm",-3.61398611509393,-1.52816134192423,"WT_3.28_55.norm","anti-CD3 & anti-CD28","WT"
"WT_3.28_57.norm",-7.12975524616215,1.84362848919574,"WT_3.28_57.norm","anti-CD3 & anti-CD28","WT"
"WT_3_325.norm",-1.02832064658165,5.70750704461168,"WT_3_325.norm","anti-CD3","WT"
"WT_3_328.norm",0.974141329628055,0.597223258749601,"WT_3_328.norm","anti-CD3","WT"
"WT_3_329.norm",9.16239241093715,-0.935129968804424,"WT_3_329.norm","anti-CD3","WT"
"WT_3_53.norm",13.7005385819498,-4.72664305489412,"WT_3_53.norm","anti-CD3","WT"
"WT_3_55.norm",1.87461448043054,-3.09831409782854,"WT_3_55.norm","anti-CD3","WT"
"WT_3_57.norm",1.24873006230419,0.5498749825568,"WT_3_57.norm","anti-CD3","WT"
