ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
10554445	0.0000168	4.85e-10	26.329644	12.9257706	2.53559	Prc1	protein regulator of cytokinesis 1
10462866	0.0000168	1.48e-09	23.316499	12.1078005	2.8388125	Cep55	centrosomal protein 55
10360985	0.0000168	1.83e-09	22.771247	11.9414303	2.9609	Cenpf	centromere protein F
10432511	0.0000168	1.89e-09	22.697364	11.9184085	1.940535	Racgap1	Rac GTPase-activating protein 1
10385248	0.0000169	3.26e-09	21.382901	11.4886247	3.45699	Hmmr	hyaluronan mediated motility receptor (RHAMM)
10496204	0.0000169	3.43e-09	21.260437	11.4465471	3.078765	Cenpe	centromere protein E
10411739	0.0000169	3.49e-09	21.221997	11.4332647	3.5691025	Ccnb1	cyclin B1
10494428	0.0000169	3.81e-09	-21.018445	11.3623285	-2.049165	Txnip	thioredoxin interacting protein
10371591	0.0000196	5.14e-09	20.335837	11.1168431	2.6126275	Parpbp	PARP1 binding protein
10349637	0.0000196	5.76e-09	20.083794	11.0231361	2.3153825	Fam72a	family with sequence similarity 72, member A
10371770	0.0000196	6.82e-09	19.71438	10.8826821	1.8248825	Gas2l3	growth arrest-specific 2 like 3
10477187	0.0000196	6.88e-09	19.694733	10.8751067	3.2325725	Tpx2	TPX2, microtubule-associated
10451805	0.0000196	7.55e-09	19.495041	10.7974921	2.1642225	Sgol1	shugoshin-like 1 (S. pombe)
10458195	0.0000196	8.72e-09	19.188631	10.6761803	2.6426525	Cdc25c	cell division cycle 25C
10389606	0.0000196	9.69e-09	18.966204	10.5863951	2.9708875	Prr11	proline rich 11
10421029	0.0000196	9.70e-09	18.964907	10.5858675	2.1151475	Cdca2	cell division cycle associated 2
10504470	0.0000196	9.76e-09	18.951953	10.5805923	2.63058	Melk	maternal embryonic leucine zipper kinase
10563883	0.0000196	9.92e-09	18.918242	10.5668412	3.33343	Depdc1a	DEP domain containing 1a
10515836	0.0000201	1.08e-08	18.748297	10.4969954	3.5981975	Ccnb1	cyclin B1
10562637	0.0000232	1.31e-08	18.352933	10.3310539	3.588225	Ccnb1	cyclin B1
10490104	0.0000247	1.46e-08	18.128336	10.2345807	1.7122125	Aurka	aurora kinase A
10575733	0.0000253	1.56e-08	17.992407	10.1753984	2.1129925	Cenpn	centromere protein N
10542214	0.0000253	1.64e-08	-17.897492	10.1337121	-3.426155	Klrd1	killer cell lectin-like receptor, subfamily D, member 1
10454709	0.0000318	2.14e-08	17.374411	9.8985105	2.1937975	Kif20a	kinesin family member 20A
10577508	0.0000357	2.66e-08	16.963002	9.7067915	2.244975	Ckap2	cytoskeleton associated protein 2
10352767	0.0000357	2.70e-08	16.934207	9.6931435	1.92836	Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2
10503315	0.0000357	2.78e-08	16.88417	9.6693553	2.057235	Rad54b	RAD54 homolog B (S. cerevisiae)
10359890	0.0000357	2.81e-08	16.862282	9.6589201	3.12874	Nuf2	NUF2, NDC80 kinetochore complex component
10497122	0.0000375	3.11e-08	16.669248	9.5661189	3.4975475	Depdc1a	DEP domain containing 1a
10350392	0.0000375	3.17e-08	16.638057	9.5509926	2.74168	Aspm	asp (abnormal spindle)-like, microcephaly associated (Drosophila)
10528915	0.0000375	3.27e-08	16.579522	9.5225057	1.7532	Tyms	thymidylate synthase
10591781	0.0000377	3.51e-08	16.448123	9.4580808	2.8366025	Anln	anillin, actin binding protein
10350297	0.0000377	3.54e-08	16.43369	9.4509639	3.2828475	Kif14	kinesin family member 14
10416655	0.0000377	3.61e-08	16.40043	9.4345324	1.6818525	Kbtbd6	kelch repeat and BTB (POZ) domain containing 6
10555510	0.0000382	3.76e-08	-16.326259	9.3977348	-2.0087625	Pde2a	phosphodiesterase 2A, cGMP-stimulated
10419323	0.0000392	3.97e-08	16.226707	9.3480057	1.9994825	Dlgap5	discs, large (Drosophila) homolog-associated protein 5
10506822	0.0000393	4.09e-08	16.173026	9.3210274	2.11957	Orc1	origin recognition complex, subunit 1
10379127	0.0000405	4.33e-08	16.071619	9.2697508	2.3830425	Spag5	sperm associated antigen 5
10497520	0.0000415	4.62e-08	15.954508	9.2100183	2.6830375	Ect2	ect2 oncogene
10590494	0.0000415	4.69e-08	15.928549	9.1967022	2.36922	Kif15	kinesin family member 15
10435581	0.0000415	4.78e-08	15.893525	9.1786923	2.0885475	Polq	polymerase (DNA directed), theta
10412036	0.0000438	5.22e-08	15.741007	9.099677	1.40549	Apoo-ps///Apoo	apolipoprotein O, pseudogene///apolipoprotein O
10603135	0.0000438	5.33e-08	15.703676	9.0801897	1.9757775	Fancb	Fanconi anemia, complementation group B
10388234	0.0000438	5.53e-08	15.637214	9.0453509	1.68732	Gsg2	germ cell associated 2, haspin
10405189	0.0000438	5.54e-08	15.634241	9.0437881	1.4871725		
10390050	0.0000469	6.06e-08	15.478921	8.9616217	1.534545	Eme1	essential meiotic structure-specific endonuclease 1
10400589	0.0000475	6.39e-08	15.389916	8.9140713	3.1150375	Mis18bp1	MIS18 binding protein 1
10474769	0.0000475	6.42e-08	15.381562	8.9095904	2.489685	Bub1b	BUB1B, mitotic checkpoint serine/threonine kinase
10421877	0.0000492	6.81e-08	15.280447	8.8551164	2.2751825	Diaph3	diaphanous related formin 3
10438738	0.0000492	6.95e-08	-15.245907	8.8364058	-1.8847325	Bcl6	B cell leukemia/lymphoma 6
10363445	0.0000492	7.05e-08	-15.219963	8.8223172	-1.198385	Vsir	V-set immunoregulatory receptor
10396849	0.0000498	7.30e-08	15.161956	8.7907099	1.7833775	Rad51b	RAD51 paralog B
10352709	0.0000498	7.43e-08	15.132426	8.7745614	1.35882	Nsl1	NSL1, MIS12 kinetochore complex component
10485963	0.0000542	8.24e-08	14.958484	8.6786502	1.8555875	Arhgap11a	Rho GTPase activating protein 11A
10474437	0.0000551	8.66e-08	14.875211	8.6322477	1.605435	Ccdc34	coiled-coil domain containing 34
10416736	0.0000551	8.69e-08	14.870008	8.6293382	1.3142425	Bora	bora, aurora kinase A activator
10401852	0.0000566	9.08e-08	14.796484	8.5880862	1.229615	Cep128	centrosomal protein 128
10410560	0.0000602	1.00e-07	14.632317	8.4950702	2.59739	Trip13	thyroid hormone receptor interactor 13
10474875	0.0000602	1.01e-07	14.6202	8.4881548	3.4231	Casc5	cancer susceptibility candidate 5
10594774	0.0000602	1.02e-07	14.612168	8.483567	2.0088225	Ccnb2	cyclin B2
10565990	0.0000636	1.11e-07	-14.460373	8.396284	-3.0408825	Art2a-ps	ADP-ribosyltransferase 2a, pseudogene
10436106	0.0000636	1.13e-07	14.445571	8.3877137	2.80395	C330027C09Rik	RIKEN cDNA C330027C09 gene
10592503	0.0000636	1.13e-07	-14.433673	8.3808169	-1.6561775	Crtam	cytotoxic and regulatory T cell molecule
10408243	0.0000636	1.14e-07	14.418666	8.3721087	1.6924625	Hist1h4m///Hist1h4b///Hist1h4a///Hist1h4n///Hist1h4k///Hist1h4j///Hist1h4i///Hist1h4f///Hist1h4d///Hist1h4c///Hist1h4h	histone cluster 1, H4m///histone cluster 1, H4b///histone cluster 1, H4a///histone cluster 1, H4n///histone cluster 1, H4k///histone cluster 1, H4j///histone cluster 1, H4i///histone cluster 1, H4f///histone cluster 1, H4d///histone cluster 1, H4c///histone cluster 1, H4h
10594251	0.0000637	1.21e-07	14.322877	8.3162658	2.8023625	Kif23	kinesin family member 23
10475866	0.0000637	1.22e-07	-14.318359	8.3136209	-1.1611425	Bcl2l11	BCL2-like 11 (apoptosis facilitator)
