"","x"
"1","Mybl1"
"2","Mybl1"
"3","Tram1"
"4","Kcnq5"
"5","Mgat4a"
"6","Mob4"
"7","Cd28"
"8","Pam"
"9","Zcchc2"
"10","Bcl2"
"11","Kdsr"
"12","Dsel"
"13","Ptpn4"
"14","Ccnt2"
"15","Rassf5"
"16","Nucks1"
"17","Btg2"
"18","Btg2"
"19","Phlda3"
"20","Dennd1b"
"21","Xpr1"
"22","Tor1aip2"
"23","Abl2"
"24","Prrc2c"
"25","Pou2f1"
"26","Atf6"
"27","Dcaf8"
"28","Tmem206"
"29","Rcor3"
"30","Lats1"
"31","Lats1"
"32","Lats1"
"33","Map7"
"34","Myb"
"35","Myb"
"36","Sgk1"
"37","Tbpl1"
"38","Akap7"
"39","Cd164"
"40","Gcc2"
"41","Lims1"
"42","Sowahc"
"43","Micu1"
"44","Ccdc6"
"45","Bcr"
"46","Bcr"
"47","Sumo3"
"48","Syde1"
"49","Prdm4"
"50","Chpt1"
"51","Chpt1"
"52","Cdk17"
"53","Plxnc1"
"54","Atxn7l3b"
"55","Atxn7l3b"
"56","Usp15"
"57","Zbtb39"
"58","Baz2a"
"59","Smarcc2"
"60","Morc2a"
"61","Morc2a"
"62","Mtmr3"
"63","Nf2"
"64","Actr2"
"65","Actr2"
"66","Actr2"
"67","Lsm11"
"68","Mapk9"
"69","Sec24a"
"70","Aff4"
"71","Aff4"
"72","Acsl6"
"73","Slc36a1"
"74","Map2k3"
"75","Hs3st3b1"
"76","Gucy2e"
"77","Mink1"
"78","Spag7"
"79","Cluh"
"80","Pafah1b1"
"81","Pafah1b1"
"82","Mnt"
"83","Myo1c"
"84","Crk"
"85","Cpd"
"86","Cpd"
"87","Cpd"
"88","Ankrd13b"
"89","Git1"
"90","Nufip2"
"91","Nufip2"
"92","Nufip2"
"93","Nufip2"
"94","Rab34"
"95","Sdf2"
"96","Sdf2"
"97","Suz12"
"98","Rad51d"
"99","Ap2b1"
"100","Taf15"
"101","Synrg"
"102","Ppm1d"
"103","Prr11"
"104","Mmd"
"105","Atp5g1"
"106","Nfe2l1"
"107","Osbpl7"
"108","Tbx21"
"109","Mllt6"
"110","Fbxl20"
"111","Fbxl20"
"112","Cdk12"
"113","Cntnap1"
"114","Ezh1"
"115","Vat1"
"116","Atxn7l3"
"117","Gpatch8"
"118","Gpatch8"
"119","Cdc27"
"120","Dcaf7"
"121","Map3k3"
"122","Smurf2"
"123","Bptf"
"124","Helz"
"125","Prkca"
"126","Gna13"
"127","Gga3"
"128","Acox1"
"129","Cbx4"
"130","Arhgdia"
"131","Fasn"
"132","Rab10"
"133","Rab10"
"134","Rock2"
"135","Pdia6"
"136","Ywhaq"
"137","Sypl"
"138","Hectd1"
"139","Arhgap5"
"140","Fbxo33"
"141","Sos2"
"142","Dcaf5"
"143","Dcaf5"
"144","Arel1"
"145","Irf2bpl"
"146","Tmed8"
"147","Gtf2a1"
"148","Gskip"
"149","Setd3"
"150","Ppp2r5c"
"151","Bag5"
"152","E2f3"
"153","Nrn1"
"154","Rreb1"
"155","Jarid2"
"156","Ippk"
"157","Ippk"
"158","Iars"
"159","Sptlc1"
"160","Sptlc1"
"161","Smad5"
"162","Ell2"
"163","Col4a3bp"
"164","Btf3"
"165","Pik3r1"
"166","Slc4a7"
"167","Ppif"
"168","Dennd6a"
"169","Dennd6a"
"170","Dcp1a"
"171","Colq"
"172","Mapk8"
"173","Glud1"
"174","Bmpr1a"
"175","Styx"
"176","Atg14"
"177","Tmem55b"
"178","Tmem55b"
"179","Bcl2l2"
"180","Bcl2l2"
"181","Lats2"
"182","Kpna3"
"183","Extl3"
"184","Trim35"
"185","Slc25a37"
"186","Tpt1"
"187","Akap11"
"188","Akap11"
"189","Akap11"
"190","Akap11"
"191","AW549877"
"192","Rictor"
"193","Il7r"
"194","Il7r"
"195","Zfp622"
"196","Zhx1"
"197","Ago2"
"198","Cbx6"
"199","Cbx6"
"200","Mief1"
"201","Tnrc6b"
"202","Tnrc6b"
"203","Tnrc6b"
"204","Tnrc6b"
"205","Nup50"
"206","Nup50"
"207","Arf3"
"208","Arf3"
"209","Kmt2d"
"210","Tuba1a"
"211","Eif4b"
"212","Spryd3"
"213","Spryd3"
"214","Spryd3"
"215","Rarg"
"216","Tarbp2"
"217","Cbx5"
"218","Hnrnpa1"
"219","Usp7"
