"","x"
"1","Gnai3"
"2","Ccnd2"
"3","Mnt"
"4","Hk2"
"5","Dpp9"
"6","Rarg"
"7","Ell2"
"8","Chordc1"
"9","Kmt2a"
"10","Rab34"
"11","Ccne1"
"12","Ranbp3"
"13","Cdk12"
"14","Lipe"
"15","Slc2a3"
"16","Etv3"
"17","Mmd"
"18","Clcn5"
"19","Pnpla6"
"20","Pex5"
"21","Asf1b"
"22","Ddx39"
"23","Igf1r"
"24","Zfp592"
"25","Nr2c2"
"26","Atp5g1"
"27","Usp19"
"28","Ezh1"
"29","Relt"
"30","Nf2"
"31","Vav2"
"32","Bcr"
"33","Kdsr"
"34","Git1"
"35","Gorasp2"
"36","Lonrf3"
"37","Mtif3"
"38","Nup50"
"39","Elmo2"
"40","Myo1c"
"41","Rad51d"
"42","Map2k3"
"43","Ywhah"
"44","Slc25a22"
"45","Trip10"
"46","Cdk17"
"47","Actr2"
"48","Slc36a1"
"49","Sumo3"
"50","Acsl6"
"51","Prr11"
"52","Ppm1d"
"53","Gna13"
"54","Taf15"
"55","Map3k3"
"56","Helz"
"57","Gga3"
"58","Cluh"
"59","Acox1"
"60","Mink1"
"61","Cpd"
"62","Fbxl20"
"63","Sptlc1"
"64","Smad5"
"65","Col4a3bp"
"66","Slc4a7"
"67","Glud1"
"68","Bmpr1a"
"69","Ppif"
"70","Kpna3"
"71","Mapk8"
"72","Dcp1a"
"73","Extl3"
"74","Akap11"
"75","Trim35"
"76","Litaf"
"77","Atp13a3"
"78","Usp7"
"79","Usp25"
"80","Son"
"81","Pisd"
"82","Igf2r"
"83","Lnpep"
"84","Pim1"
"85","Crim1"
"86","Man2a1"
"87","Anks1"
"88","Cul2"
"89","Rnf138"
"90","Dcp2"
"91","Isoc1"
"92","Tle4"
"93","Klc2"
"94","Ppp6r3"
"95","Esrra"
"96","Pdcd4"
"97","Shoc2"
"98","Eif3a"
"99","Arhgdia"
"100","Fasn"
"101","Actr1a"
"102","Arih1"
"103","Smarcc2"
"104","Smad7"
"105","Mybl1"
"106","Rassf5"
"107","Nucks1"
"108","Dcaf8"
"109","Pou2f1"
"110","Zbtb43"
"111","Dolpp1"
"112","Camsap1"
"113","Caprin1"
"114","Rad51"
"115","1700037H04Rik"
"116","Rassf2"
"117","Spred1"
"118","Tbl1xr1"
"119","Tnik"
"120","Kcnq5"
"121","Ash1l"
"122","Eif4e"
"123","B4galt1"
"124","Rad23b"
"125","Ubap1"
"126","Reck"
"127","Cc2d1b"
"128","Zfp362"
"129","Ago3"
"130","Ube4b"
"131","Ski"
"132","Clock"
"133","Pdap1"
"134","Gigyf1"
"135","Zkscan1"
"136","Ahcyl2"
