"","x"
"1","Gnai3"
"2","Hk2"
"3","Dpp9"
"4","Rarg"
"5","Ell2"
"6","Gramd3"
"7","Sdf2"
"8","Ccne1"
"9","Braf"
"10","Slc2a3"
"11","Rabac1"
"12","Etv3"
"13","Il7r"
"14","Clcn5"
"15","Pnpla6"
"16","Asf1b"
"17","Igf1r"
"18","Nr2c2"
"19","Cdc42"
"20","Relt"
"21","Cbx5"
"22","Bcr"
"23","Kdsr"
"24","Tmem87b"
"25","Tbp"
"26","Lcorl"
"27","Lonrf3"
"28","Mtif3"
"29","Nup50"
"30","Suz12"
"31","Elmo2"
"32","Serinc3"
"33","Crk"
"34","Ppp2r5c"
"35","Spag7"
"36","Smurf2"
"37","Rad51d"
"38","Ywhah"
"39","Trip10"
"40","Cd164"
"41","Lims1"
"42","Map7"
"43","Cdk17"
"44","Micu1"
"45","Usp15"
"46","Sumo3"
"47","Mapk9"
"48","Btg2"
"49","Prr11"
"50","Ppm1d"
"51","Pdia6"
"52","Rock2"
"53","Gna13"
"54","Cdc27"
"55","Map3k3"
"56","Helz"
"57","Pafah1b1"
"58","Acox1"
"59","Mink1"
"60","Fbxl20"
"61","Gtf2a1"
"62","Ippk"
"63","Sptlc1"
"64","Btf3"
"65","Glud1"
"66","Bmpr1a"
"67","Kpna3"
"68","Mapk8"
"69","Lats2"
"70","Dcp1a"
"71","Akap11"
"72","Trim35"
"73","Zhx1"
"74","1810013L24Rik"
"75","Bfar"
"76","Usp25"
"77","Kpna1"
"78","Son"
"79","Tarbp2"
"80","Pisd"
"81","Pcbp4"
"82","Igf2r"
"83","Lnpep"
"84","Vegfa"
"85","Pim1"
"86","Man2a1"
"87","Cul2"
"88","Rnf138"
"89","Dcp2"
"90","Isoc1"
"91","Tle4"
"92","Cdc37l1"
"93","Klc2"
"94","Ppp6r3"
"95","Arl2"
"96","Esrra"
"97","Pdcd4"
"98","Shoc2"
"99","Entpd7"
"100","Btrc"
"101","Arih1"
"102","Ptprj"
"103","Hspa4l"
"104","Smad7"
"105","Mybl1"
"106","Tram1"
"107","Mob4"
"108","Cd28"
"109","Mgat4a"
"110","Ptpn4"
"111","Nucks1"
"112","Xpr1"
"113","Dcaf8"
"114","Pou2f1"
"115","Tmem206"
"116","Atf6"
"117","Golga1"
"118","Zbtb43"
"119","Phf19"
"120","Cops2"
"121","Rad51"
"122","1700037H04Rik"
"123","Spred1"
"124","Polr3f"
"125","Mapre1"
"126","Snx16"
"127","Ttc14"
"128","Kpna4"
"129","Kcnq5"
"130","Ash1l"
"131","Fbxw7"
"132","Pnisr"
"133","B4galt1"
"134","Rad23b"
"135","Ubap1"
"136","Ak4"
"137","Ube4b"
"138","Mfn2"
"139","Fosl2"
"140","Nrbp1"
"141","Clock"
"142","Wipi2"
"143","Gigyf1"
"144","Avl9"
"145","Mlf2"
"146","Wbp11"
"147","Etnk1"
"148","Vamp1"
"149","Furin"
"150","Vps33b"
"151","Pik3c2a"
"152","Rbbp6"
"153","Dctn5"
"154","Ubfd1"
"155","Usp9x"
"156","Cask"
"157","Wee1"
"158","Vbp1"
"159","Acsl4"
"160","Rps6ka3"
"161","Zrsr2"
"162","Erlin2"
"163","Pcm1"
"164","N4bp1"
"165","Dnaja2"
"166","Nfatc3"
"167","Srpr"
"168","Il10ra"
"169","Arcn1"
"170","Chek1"
"171","Rora"
"172","Phip"
"173","Kif23"
"174","U2surp"
"175","Cdc25a"
"176","Pdcd6ip"
"177","Rbm6"
"178","Crebl2"
"179","Syde1"
"180","Lrig2"
"181","Rnf125"
"182","Cacul1"
"183","Armcx2"
"184","Atp7a"
"185","Ogt"
"186","Ccnd3"
"187","Sos2"
"188","Sidt2"
"189","Synrg"
"190","Arhgap5"
"191","Hectd1"
"192","Fbxo33"
"193","Prdm4"
"194","Rsf1"
"195","Dync1li2"
"196","Tmem55b"
"197","Serbp1"
"198","Siah1a"
"199","Syde2"
"200","Spryd3"
"201","Mex3c"
"202","Bag4"
"203","Rcor3"
"204","Atg14"
"205","Slc20a2"
"206","Tmem33"
"207","Cramp1l"
"208","Gcc2"
"209","Phf20"
"210","Otud7b"
"211","Nfe2l1"
"212","Dsel"
"213","Smurf1"
"214","Rreb1"
