"","x"
"1","Gnai3"
"2","Hk2"
"3","Dpp9"
"4","Rarg"
"5","Ell2"
"6","Ccne1"
"7","Slc2a3"
"8","Etv3"
"9","Clcn5"
"10","Pnpla6"
"11","Asf1b"
"12","Igf1r"
"13","Nr2c2"
"14","Relt"
"15","Bcr"
"16","Kdsr"
"17","Lonrf3"
"18","Mtif3"
"19","Nup50"
"20","Elmo2"
"21","Rad51d"
"22","Ywhah"
"23","Trip10"
"24","Cdk17"
"25","Sumo3"
"26","Prr11"
"27","Ppm1d"
"28","Gna13"
"29","Map3k3"
"30","Helz"
"31","Acox1"
"32","Mink1"
"33","Fbxl20"
"34","Sptlc1"
"35","Glud1"
"36","Bmpr1a"
"37","Kpna3"
"38","Mapk8"
"39","Dcp1a"
"40","Akap11"
"41","Trim35"
"42","Usp25"
"43","Son"
"44","Pisd"
"45","Igf2r"
"46","Lnpep"
"47","Pim1"
"48","Man2a1"
"49","Cul2"
"50","Rnf138"
"51","Dcp2"
"52","Isoc1"
"53","Tle4"
"54","Klc2"
"55","Ppp6r3"
"56","Esrra"
"57","Pdcd4"
"58","Shoc2"
"59","Arih1"
"60","Smad7"
"61","Mybl1"
"62","Nucks1"
"63","Dcaf8"
"64","Pou2f1"
"65","Zbtb43"
"66","Rad51"
"67","1700037H04Rik"
"68","Spred1"
"69","Kcnq5"
"70","Ash1l"
"71","B4galt1"
"72","Rad23b"
"73","Ubap1"
"74","Ube4b"
"75","Clock"
"76","Gigyf1"
"77","Avl9"
"78","Mlf2"
"79","Wbp11"
"80","Vps33b"
"81","Rbbp6"
"82","Dctn5"
"83","Ubfd1"
"84","Usp9x"
"85","Cask"
"86","Wee1"
"87","Zrsr2"
"88","Erlin2"
"89","N4bp1"
"90","Nfatc3"
"91","Srpr"
"92","Phip"
"93","Kif23"
"94","U2surp"
"95","Cdc25a"
"96","Pdcd6ip"
"97","Rbm6"
"98","Rnf125"
"99","Cacul1"
"100","Atp7a"
"101","Ccnd3"
"102","Sos2"
"103","Sidt2"
"104","Synrg"
"105","Arhgap5"
"106","Hectd1"
"107","Fbxo33"
"108","Prdm4"
"109","Spryd3"
"110","Mex3c"
"111","Bag4"
"112","Atg14"
"113","Slc20a2"
"114","Cramp1l"
"115","Gcc2"
"116","Phf20"
"117","Otud7b"
"118","Nfe2l1"
"119","Dsel"
"120","Smurf1"
"121","Cbx4"
"122","Lats1"
"123","Rfx3"
"124","Wwp1"
"125","Pik3r1"
"126","Phlda3"
"127","Agps"
"128","Clspn"
"129","Ube2q1"
"130","Zc3h6"
"131","Ubr3"
"132","Zswim3"
"133","Hnrnpa1"
"134","Phf13"
"135","Tnrc6b"
"136","Pskh1"
"137","Rnf24"
"138","Fkrp"
"139","Aff4"
"140","Prkca"
"141","Ficd"
"142","Kcnn4"
"143","Klhl26"
"144","Socs6"
"145","Tmem154"
"146","Setd3"
"147","Eif4b"
"148","Nol4l"
"149","Kif1b"
"150","Akap13"
"151","Csde1"
"152","Ddx3y"
"153","Atxn1l"
"154","Fryl"
"155","Gpr174"
"156","Pdzd8"
"157","Atxn7l3b"
"158","Fam122a"
"159","Plcxd2"
"160","Cbx6"
