"","x"
"1","Gnai3"
"2","Ccnd2"
"3","Mnt"
"4","Hk2"
"5","Dpp9"
"6","Rarg"
"7","Ell2"
"8","Gramd3"
"9","Chordc1"
"10","Kmt2a"
"11","Rab34"
"12","Sdf2"
"13","Ccne1"
"14","Ranbp3"
"15","Braf"
"16","Cdk12"
"17","Lipe"
"18","Slc2a3"
"19","Rabac1"
"20","Etv3"
"21","Il7r"
"22","Mmd"
"23","Clcn5"
"24","Pnpla6"
"25","Pex5"
"26","Asf1b"
"27","Ddx39"
"28","Igf1r"
"29","Zfp592"
"30","Nr2c2"
"31","Atp5g1"
"32","Usp19"
"33","Cdc42"
"34","Ezh1"
"35","Relt"
"36","Nf2"
"37","Cbx5"
"38","Vav2"
"39","Bcr"
"40","Kdsr"
"41","Git1"
"42","Tmem87b"
"43","Tbp"
"44","Gorasp2"
"45","Lcorl"
"46","Lonrf3"
"47","Mtif3"
"48","Nup50"
"49","Suz12"
"50","Elmo2"
"51","Serinc3"
"52","Myo1c"
"53","Crk"
"54","Ppp2r5c"
"55","Spag7"
"56","Smurf2"
"57","Rad51d"
"58","Map2k3"
"59","Ywhah"
"60","Slc25a22"
"61","Trip10"
"62","Cd164"
"63","Lims1"
"64","Map7"
"65","Cdk17"
"66","Micu1"
"67","Usp15"
"68","Actr2"
"69","Slc36a1"
"70","Sumo3"
"71","Acsl6"
"72","Mapk9"
"73","Btg2"
"74","Prr11"
"75","Ppm1d"
"76","Pdia6"
"77","Rock2"
"78","Gna13"
"79","Taf15"
"80","Cdc27"
"81","Map3k3"
"82","Helz"
"83","Gga3"
"84","Cluh"
"85","Pafah1b1"
"86","Acox1"
"87","Mink1"
"88","Cpd"
"89","Fbxl20"
"90","Gtf2a1"
"91","Ippk"
"92","Sptlc1"
"93","Smad5"
"94","Btf3"
"95","Col4a3bp"
"96","Slc4a7"
"97","Glud1"
"98","Bmpr1a"
"99","Ppif"
"100","Kpna3"
"101","Mapk8"
"102","Lats2"
"103","Dcp1a"
"104","Extl3"
"105","Akap11"
"106","Trim35"
"107","Zhx1"
"108","Litaf"
"109","1810013L24Rik"
"110","Atp13a3"
"111","Bfar"
"112","Usp7"
"113","Usp25"
"114","Kpna1"
"115","Son"
"116","Tarbp2"
"117","Pisd"
"118","Pcbp4"
"119","Igf2r"
"120","Lnpep"
"121","Vegfa"
"122","Pim1"
"123","Crim1"
"124","Man2a1"
"125","Anks1"
"126","Cul2"
"127","Rnf138"
"128","Dcp2"
"129","Isoc1"
"130","Tle4"
"131","Cdc37l1"
"132","Klc2"
"133","Ppp6r3"
"134","Arl2"
"135","Esrra"
"136","Pdcd4"
"137","Shoc2"
